id,dataset_id,decimallongitude,decimallatitude,species,minimumdepthinmeters,maximumdepthinmeters,shoredistance,bathymetry,sst,sss,occurrenceid,catalognumber,occurrenceremarks,recordnumber,recordedby,recordedbyid,individualcount,organismquantity,organismquantitytype,sex,lifestage,reproductivecondition,behavior,establishmentmeans,occurrencestatus,preparations,disposition,othercatalognumbers,associatedmedia,associatedreferences,associatedsequences,associatedtaxa,organismid,organismname,organismscope,associatedoccurrences,associatedorganisms,previousidentifications,organismremarks,eventid,parenteventid,samplingprotocol,samplesizevalue,samplesizeunit,samplingeffort,eventdate,eventtime,startdayofyear,enddayofyear,year,month,day,verbatimeventdate,habitat,fieldnumber,fieldnotes,eventremarks,locationid,highergeographyid,highergeography,continent,waterbody,islandgroup,island,country,countrycode,stateprovince,county,municipality,locality,verbatimlocality,verbatimelevation,minimumelevationinmeters,maximumelevationinmeters,verbatimdepth,minimumdistanceabovesurfaceinmeters,maximumdistanceabovesurfaceinmeters,locationaccordingto,locationremarks,verbatimcoordinates,verbatimlatitude,verbatimlongitude,verbatimcoordinatesystem,verbatimsrs,geodeticdatum,coordinateprecision,pointradiusspatialfit,footprintwkt,footprintsrs,footprintspatialfit,georeferencedby,georeferenceddate,georeferenceprotocol,georeferencesources,georeferenceverificationstatus,georeferenceremarks,geologicalcontextid,earliesteonorlowesteonothem,latesteonorhighesteonothem,earliesteraorlowesterathem,latesteraorhighesterathem,earliestperiodorlowestsystem,latestperiodorhighestsystem,earliestepochorlowestseries,latestepochorhighestseries,earliestageorloweststage,latestageorhigheststage,lowestbiostratigraphiczone,highestbiostratigraphiczone,lithostratigraphicterms,group,formation,member,bed,identificationid,identifiedby,identifiedbyid,dateidentified,identificationreferences,identificationremarks,identificationqualifier,identificationverificationstatus,typestatus,taxonid,scientificnameid,acceptednameusageid,parentnameusageid,originalnameusageid,nameaccordingtoid,namepublishedinid,taxonconceptid,acceptednameusage,parentnameusage,originalnameusage,nameaccordingto,namepublishedin,namepublishedinyear,higherclassification,specificepithet,infraspecificepithet,verbatimtaxonrank,scientificnameauthorship,vernacularname,nomenclaturalcode,taxonomicstatus,nomenclaturalstatus,taxonremarks
a4c36576-7f4f-4f42-86fb-ad937f1a41f2,a54a77db-7b42-4101-8d71-1adec3dd4ed5,-176.6215,0.8042,Arothron meleagris,12,12,150,-2,28.05,35.18,PIFSC:ESD:replicateID_14205132:2_m:objectID_1378616,1378616,NA,,,,1,,,,,,,,present,,,,,,,,,,,,,,,PIFSC:ESD:replicateID_14205132:2_m,PIFSC:ESD:siteVisitID_114:replicateID_14205132,Belt Transect (BLT) surveys; https://inport.nmfs.noaa.gov/inport/item/5565.,50,square meters,,2002-01-31T20:00:00Z,,,,2002,,,31-Jan-02,Shallow coral reef : Forereef,missionID_TC0201:roundID_19,,,PIFSC:ESD:site_HOW-05,,,,North Pacific Ocean,Pacific Remote Island Areas,Howland,United States of America,US,Pacific Remote Island Areas,,,,,,,,Depth Bin: Mid,,,,,,,,,,ESPG:4326 WGS84 decimal degrees,,,,,,Small boat operator,,Small boat-based GPS,,,,,,,,,,,,,,,,,,,,,,,Diver initials BM,,,,,,,,aphiaID_219926,urn:lsid:marinespecies.org:taxname:219926,,,,,,,,,,,,,,meleagris,,,"(Anonymous, 1798)",Guineafowl puffer,,,,
5041588c-6ae4-41f8-8865-c67d5dade065,a54a77db-7b42-4101-8d71-1adec3dd4ed5,145.23418,20.0144,Arothron meleagris,14,14,123,187,28.14,34.76,PIFSC:ESD:replicateID_72204131:4_m:objectID_1419595,1419595,NA,,,,1,,,,,,,,present,,,,,,,,,,,,,,,PIFSC:ESD:replicateID_72204131:4_m,PIFSC:ESD:siteVisitID_361:replicateID_72204131,Belt Transect (BLT) surveys; https://inport.nmfs.noaa.gov/inport/item/5565.,100,square meters,,2003-09-02T22:00:00Z,,,,2003,,,3-Sep-03,Shallow coral reef : Forereef,missionID_OES0307:roundID_7,,,PIFSC:ESD:site_MAU-04,,,,North Pacific Ocean,Mariana Archipelago,Maug,United States of America,US,Mariana Archipelago,,,,,,,,Depth Bin: Mid,,,,,,,,,,ESPG:4326 WGS84 decimal degrees,,,,,,Small boat operator,,Small boat-based GPS,,,,,,,,,,,,,,,,,,,,,,,Diver initials KAM,,,,,,,,aphiaID_219926,urn:lsid:marinespecies.org:taxname:219926,,,,,,,,,,,,,,meleagris,,,"(Anonymous, 1798)",Guineafowl puffer,,,,
083f8565-bae2-400a-9bf0-b68cf09b5748,a54a77db-7b42-4101-8d71-1adec3dd4ed5,-160.0086,-0.3695,Arothron meleagris,13,13,174,319,26.88,35.34,PIFSC:ESD:replicateID_18011332:2_m:objectID_1388186,1388186,NA,,,,1,,,,,,,,present,,,,,,,,,,,,,,,PIFSC:ESD:replicateID_18011332:2_m,PIFSC:ESD:siteVisitID_166:replicateID_18011332,Belt Transect (BLT) surveys; https://inport.nmfs.noaa.gov/inport/item/5565.,50,square meters,,2002-03-10T19:00:00Z,,,,2002,,,10-Mar-02,Shallow coral reef : Forereef,missionID_TC0201:roundID_50,,,PIFSC:ESD:site_JAR-11,,,,South Pacific Ocean,Pacific Remote Island Areas,Jarvis,United States of America,US,Pacific Remote Island Areas,,,,,,,,Depth Bin: Mid,,,,,,,,,,ESPG:4326 WGS84 decimal degrees,,,,,,Small boat operator,,Small boat-based GPS,,,,,,,,,,,,,,,,,,,,,,,Diver initials BJZ,,,,,,,,aphiaID_219926,urn:lsid:marinespecies.org:taxname:219926,,,,,,,,,,,,,,meleagris,,,"(Anonymous, 1798)",Guineafowl puffer,,,,
2900c250-bee3-4254-8bac-25b51059c2a6,a54a77db-7b42-4101-8d71-1adec3dd4ed5,-176.61066,0.80927,Arothron meleagris,13,13,313,-1,28.05,35.18,PIFSC:ESD:replicateID_14212112:2_m:objectID_1378793,1378793,NA,,,,1,,,,,,,,present,,,,,,,,,,,,,,,PIFSC:ESD:replicateID_14212112:2_m,PIFSC:ESD:siteVisitID_115:replicateID_14212112,Belt Transect (BLT) surveys; https://inport.nmfs.noaa.gov/inport/item/5565.,50,square meters,,2002-01-31T20:00:00Z,,,,2002,,,31-Jan-02,Shallow coral reef : Forereef,missionID_TC0201:roundID_19,,,PIFSC:ESD:site_HOW-12,,,,North Pacific Ocean,Pacific Remote Island Areas,Howland,United States of America,US,Pacific Remote Island Areas,,,,,,,,Depth Bin: Mid,,,,,,,,,,ESPG:4326 WGS84 decimal degrees,,,,,,Small boat operator,,Small boat-based GPS,,,,,,,,,,,,,,,,,,,,,,,Diver initials BM,,,,,,,,aphiaID_219926,urn:lsid:marinespecies.org:taxname:219926,,,,,,,,,,,,,,meleagris,,,"(Anonymous, 1798)",Guineafowl puffer,,,,
c0ec3276-fc7d-439c-97c2-beffb4418f7f,a54a77db-7b42-4101-8d71-1adec3dd4ed5,-160.00635,-0.36537,Arothron meleagris,22,22,192,160,26.88,35.34,PIFSC:ESD:replicateID_18009332:2_m:objectID_1387814,1387814,NA,,,,1,,,,,,,,present,,,,,,,,,,,,,,,PIFSC:ESD:replicateID_18009332:2_m,PIFSC:ESD:siteVisitID_165:replicateID_18009332,Belt Transect (BLT) surveys; https://inport.nmfs.noaa.gov/inport/item/5565.,50,square meters,,2002-03-10T19:00:00Z,,,,2002,,,10-Mar-02,Shallow coral reef : Forereef,missionID_TC0201:roundID_50,,,PIFSC:ESD:site_JAR-09,,,,South Pacific Ocean,Pacific Remote Island Areas,Jarvis,United States of America,US,Pacific Remote Island Areas,,,,,,,,Depth Bin: Mid,,,,,,,,,,ESPG:4326 WGS84 decimal degrees,,,,,,Small boat operator,,Small boat-based GPS,,,,,,,,,,,,,,,,,,,,,,,Diver initials BJZ,,,,,,,,aphiaID_219926,urn:lsid:marinespecies.org:taxname:219926,,,,,,,,,,,,,,meleagris,,,"(Anonymous, 1798)",Guineafowl puffer,,,,
2f2c7861-af51-433a-b837-0d8c7b0a086a,a54a77db-7b42-4101-8d71-1adec3dd4ed5,-176.48273,0.1882,Arothron meleagris,11,11,213,-1,27.99,35.23,PIFSC:ESD:replicateID_21509232:2_m:objectID_1397163,1397163,NA,,,,1,,,,,,,,present,,,,,,,,,,,,,,,PIFSC:ESD:replicateID_21509232:2_m,PIFSC:ESD:siteVisitID_67:replicateID_21509232,Belt Transect (BLT) surveys; https://inport.nmfs.noaa.gov/inport/item/5565.,50,square meters,,2001-02-09T20:00:00Z,,,,2001,,,9-Feb-01,Shallow coral reef : Forereef,missionID_TC0101:roundID_18,,,PIFSC:ESD:site_BAK-03,,,,North Pacific Ocean,Pacific Remote Island Areas,Baker,United States of America,US,Pacific Remote Island Areas,,,,,,,,Depth Bin: Mid,,,,,,,,,,ESPG:4326 WGS84 decimal degrees,,,,,,Small boat operator,,Small boat-based GPS,,,,,,,,,,,,,,,,,,,,,,,Diver initials BDG,,,,,,,,aphiaID_219926,urn:lsid:marinespecies.org:taxname:219926,,,,,,,,,,,,,,meleagris,,,"(Anonymous, 1798)",Guineafowl puffer,,,,
0c861fc5-7aec-454f-aa4f-468f6e19408e,a54a77db-7b42-4101-8d71-1adec3dd4ed5,-162.39022,6.43483,Arothron meleagris,15,15,5495,6,28.06,34.6,PIFSC:ESD:replicateID_18814332:4_m:objectID_1391885,1391885,NA,,,,1,,,,,,,,present,,,,,,,,,,,,,,,PIFSC:ESD:replicateID_18814332:4_m,PIFSC:ESD:siteVisitID_180:replicateID_18814332,Belt Transect (BLT) surveys; https://inport.nmfs.noaa.gov/inport/item/5565.,100,square meters,,2002-03-18T19:00:00Z,,,,2002,,,18-Mar-02,Shallow coral reef : Backreef,missionID_TC0201:roundID_50,,,PIFSC:ESD:site_KIN-14,,,,North Pacific Ocean,Pacific Remote Island Areas,Kingman,United States of America,US,Pacific Remote Island Areas,,,,,,,,Depth Bin: Mid,,,,,,,,,,ESPG:4326 WGS84 decimal degrees,,,,,,Small boat operator,,Small boat-based GPS,,,,,,,,,,,,,,,,,,,,,,,Diver initials BJZ,,,,,,,,aphiaID_219926,urn:lsid:marinespecies.org:taxname:219926,,,,,,,,,,,,,,meleagris,,,"(Anonymous, 1798)",Guineafowl puffer,,,,
9bc9ccbe-e04b-457f-9835-500637a63b2e,a54a77db-7b42-4101-8d71-1adec3dd4ed5,-168.1537,-14.53775,Arothron meleagris,10,10,252,2,28.6,35.29,PIFSC:ESD:replicateID_16608112:4_m:objectID_1384585,1384585,NA,,,,1,,,,,,,,present,,,,,,,,,,,,,,,PIFSC:ESD:replicateID_16608112:4_m,PIFSC:ESD:siteVisitID_149:replicateID_16608112,Belt Transect (BLT) surveys; https://inport.nmfs.noaa.gov/inport/item/5565.,100,square meters,,2002-02-24T19:00:00Z,,,,2002,,,24-Feb-02,Shallow coral reef : Lagoon,missionID_TC0201:roundID_20,,,PIFSC:ESD:site_ROS-08,,,,South Pacific Ocean,American Samoa,Rose,United States of America,US,American Samoa,,,,,,,,Depth Bin: Mid,,,,,,,,,,ESPG:4326 WGS84 decimal degrees,,,,,,Small boat operator,,Small boat-based GPS,,,,,,,,,,,,,,,,,,,,,,,Diver initials EED,,,,,,,,aphiaID_219926,urn:lsid:marinespecies.org:taxname:219926,,,,,,,,,,,,,,meleagris,,,"(Anonymous, 1798)",Guineafowl puffer,,,,
6df588cf-447c-4a49-95f1-cd9d34d02633,a54a77db-7b42-4101-8d71-1adec3dd4ed5,-169.52397,16.74728,Arothron meleagris,15,15,895,159,26.67,34.82,PIFSC:ESD:replicateID_85712112:2_m:objectID_1430942,1430942,NA,,,,1,,,,,,,,present,,,,,,,,,,,,,,,PIFSC:ESD:replicateID_85712112:2_m,PIFSC:ESD:siteVisitID_432:replicateID_85712112,Belt Transect (BLT) surveys; https://inport.nmfs.noaa.gov/inport/item/5565.,50,square meters,,2004-01-16T18:00:00Z,,,,2004,,,16-Jan-04,Shallow coral reef : Lagoon,missionID_OES0401:roundID_9,,,PIFSC:ESD:site_JOH-12,,,,North Pacific Ocean,Pacific Remote Island Areas,Johnston,United States of America,US,Pacific Remote Island Areas,,,,,,,,Depth Bin: Mid,,,,,,,,,,ESPG:4326 WGS84 decimal degrees,,,,,,Small boat operator,,Small boat-based GPS,,,,,,,,,,,,,,,,,,,,,,,Diver initials EED,,,,,,,,aphiaID_219926,urn:lsid:marinespecies.org:taxname:219926,,,,,,,,,,,,,,meleagris,,,"(Anonymous, 1798)",Guineafowl puffer,,,,
63080eb0-cb39-451e-9e19-2d161dbc94a8,a54a77db-7b42-4101-8d71-1adec3dd4ed5,-176.6205,0.7989,Arothron meleagris,12,12,144,170,28.05,35.18,PIFSC:ESD:replicateID_86211122:4_m:objectID_1431683,1431683,NA,,,,1,,,,,,,,present,,,,,,,,,,,,,,,PIFSC:ESD:replicateID_86211122:4_m,PIFSC:ESD:siteVisitID_435:replicateID_86211122,Belt Transect (BLT) surveys; https://inport.nmfs.noaa.gov/inport/item/5565.,100,square meters,,2004-01-21T20:00:00Z,,,,2004,,,21-Jan-04,Shallow coral reef : Forereef,missionID_OES0401:roundID_9,,,PIFSC:ESD:site_HOW-11,,,,North Pacific Ocean,Pacific Remote Island Areas,Howland,United States of America,US,Pacific Remote Island Areas,,,,,,,,Depth Bin: Mid,,,,,,,,,,ESPG:4326 WGS84 decimal degrees,,,,,,Small boat operator,,Small boat-based GPS,,,,,,,,,,,,,,,,,,,,,,,Diver initials EED,,,,,,,,aphiaID_219926,urn:lsid:marinespecies.org:taxname:219926,,,,,,,,,,,,,,meleagris,,,"(Anonymous, 1798)",Guineafowl puffer,,,,
e68198af-999a-4750-9c2c-dd4a5f404c78,a54a77db-7b42-4101-8d71-1adec3dd4ed5,-169.51173,16.75968,Arothron meleagris,11,11,297,40,26.67,34.83,PIFSC:ESD:replicateID_85405212:2_m:objectID_1430132,1430132,NA,,,,2,,,,,,,,present,,,,,,,,,,,,,,,PIFSC:ESD:replicateID_85405212:2_m,PIFSC:ESD:siteVisitID_424:replicateID_85405212,Belt Transect (BLT) surveys; https://inport.nmfs.noaa.gov/inport/item/5565.,50,square meters,,2004-01-13T18:00:00Z,,,,2004,,,13-Jan-04,Shallow coral reef : Lagoon,missionID_OES0401:roundID_9,,,PIFSC:ESD:site_JOH-05,,,,North Pacific Ocean,Pacific Remote Island Areas,Johnston,United States of America,US,Pacific Remote Island Areas,,,,,,,,Depth Bin: Mid,,,,,,,,,,ESPG:4326 WGS84 decimal degrees,,,,,,Small boat operator,,Small boat-based GPS,,,,,,,,,,,,,,,,,,,,,,,Diver initials AMF,,,,,,,,aphiaID_219926,urn:lsid:marinespecies.org:taxname:219926,,,,,,,,,,,,,,meleagris,,,"(Anonymous, 1798)",Guineafowl puffer,,,,
1a56ec1a-638e-4dd4-919d-1a458277a783,a54a77db-7b42-4101-8d71-1adec3dd4ed5,-169.51173,16.75968,Arothron meleagris,11,11,297,40,26.67,34.83,PIFSC:ESD:replicateID_85405232:2_m:objectID_1430194,1430194,NA,,,,1,,,,,,,,present,,,,,,,,,,,,,,,PIFSC:ESD:replicateID_85405232:2_m,PIFSC:ESD:siteVisitID_424:replicateID_85405232,Belt Transect (BLT) surveys; https://inport.nmfs.noaa.gov/inport/item/5565.,50,square meters,,2004-01-13T18:00:00Z,,,,2004,,,13-Jan-04,Shallow coral reef : Lagoon,missionID_OES0401:roundID_9,,,PIFSC:ESD:site_JOH-05,,,,North Pacific Ocean,Pacific Remote Island Areas,Johnston,United States of America,US,Pacific Remote Island Areas,,,,,,,,Depth Bin: Mid,,,,,,,,,,ESPG:4326 WGS84 decimal degrees,,,,,,Small boat operator,,Small boat-based GPS,,,,,,,,,,,,,,,,,,,,,,,Diver initials AMF,,,,,,,,aphiaID_219926,urn:lsid:marinespecies.org:taxname:219926,,,,,,,,,,,,,,meleagris,,,"(Anonymous, 1798)",Guineafowl puffer,,,,
