X,Y,OBJECTID,FACNAME,ADDRESS,CITY,ZIP,CODE
-71.26109246,41.68380725,1,VETERANS HOME,450 METACOM AVE.,BRISTOL,2809,0
-71.45479118,41.74540612,2,LOTTERY,1425 PONTIAC AVE.,CRANSTON,2920,0
-71.45108002,41.79239852,3,CORRECTIONS,40 HOWARD AV,CRANSTON,2920,0
-71.46894352,41.74708602,4,MHRH HAZARD BLD.,600 NEW LONDON,CRANSTON,2920,0
-71.46217563,41.7556205,5,EMER MGMNT,645 NEW LONDON AV,CRANSTON,2920,0
-71.46700369,41.74700328,6,CORRECTIONS,75 HOWARD,CRANSTON,2920,0
-71.36902131,41.81676286,7,DET,877 BROADWAY,E PROVIDENCE,2914,0
-71.49115312,41.62015714,8,CAMP FOGARTY,2805 S. COUNTY TRAIL,EAST GREENWICH,2818,0
-71.49887784,41.82461256,9,WELFARE,1514 ATWOOD AVE.,JOHNSTON,2919,0
-71.51030177,41.82651824,10,JUD SERV,1670 HARTFORD AV,JOHNSTON,2919,0
-71.40516403,41.88254659,11,NARR BAY COMM,74 MOSHASSUCK,LINCOLN,2865,0
-71.29170573,41.51653154,12,DMV,73 VALLEY RD,MIDDLETOWN,2842,4
-71.29667944,41.517983,13,DMV,99 EAST MAIN,MIDDLETOWN,2842,4
-71.485246,41.57325905,14,DCYF FRAME,650 TEN ROD RD,North Kingstown,2852,0
-71.50674815,41.3850667,15,DEM,301 GREAT ISLAND,NARR,2882,0
-71.47493908,41.44687445,16,DCYF FRAME,4800 TOWER HILL,NARR,2879,0
-71.48137652,41.43082547,17,DMV,10 WOODRUFF,NARRAGANSETT,2882,4
-71.31715712,41.49302883,18,WELFARE,12 ELM ST,NEWPORT,2840,0
-71.32076134,41.49250548,19,DCYF FRAME,45 WASHINGTON SQ,NEWPORT,2840,0
-71.38212474,41.8812233,20,DCYF FRAME,270 ROOSEVELT AV,PAWTUCKET,2860,0
-71.39910057,41.85824505,21,STATE OF RI,1145 MAIN,PAWTUCKET,2860,0
-71.38388609,41.87665889,22,DLT,175 MAIN,PAWTUCKET,2860,0
-71.38605305,41.87776003,23,DMV,286 MAIN,PAWTUCKET,2860,4
-71.38850689,41.87547137,24,STATE OF RI,5 HILL,PAWTUCKET,2860,0
-71.41490175,41.83089271,25,RI State House,82 SMITH,PROVIDENCE,2903,0
-71.415932,41.82467537,26,CONVENTION CTR,1 WEST EXCHANGE,PROVIDENCE,2903,0
-71.41299355,41.82477617,27,PROVIDENCE  POLICE,10 DORRANCE ST,PROVIDENCE,2903,2
-71.40954097,41.82798075,28,SEC STATE,100 NORTH MAIN,PROVIDENCE,2903,0
-71.41051854,41.82016686,29,DCYF,101 FRIENDSHIP,PROVIDENCE,2903,0
-71.1859098,41.63835628,30,TIVERTON POLICE,1054 FISH RD,TIVERTON,2878,2
-71.41168803,41.82250106,31,FAMILY SUPPORT,110 EDDY ST. 2 FLR.,PROVIDENCE,2903,0
-71.40192445,41.9292953,32,CUMBERLAND  POLICE,1380 DIAMOND HILL RD,CUMBERLAND,2864,2
-71.64273933,41.96430959,33,BURRILLVILLE  POLICE,1477 VICTORY HWY,BURRILLVILLE,2830,2
-71.40627109,41.82400756,34,ATT GEN,150 SOUTH MAIN,PROVIDENCE,2903,0
-71.39279805,41.88790254,35,CENTRAL FALLS  POLICE,160 ILLINOIS,CENTRAL FALLS,2863,2
-71.66852928,41.89702123,36,GLOCESTER  POLICE,162 CHOPMIST HILL RD,GLOCESTER,2814,2
-71.50030001,41.83060839,37,JOHNSTON  POLICE,1651 ATWOOD AV,JOHNSTON,2919,2
-71.41136519,41.82307616,38,JPTA SUPPORT,180 WESTMINISTER MALL,PROVIDENCE,2903,0
-71.72070279,41.78419185,39,FOSTER  POLICE,182 HOWARD HILL RD,FOSTER,2825,2
-71.48146953,41.85659503,40,E911,1951 SMITH,PROVIDENCE,2911,0
-71.39191551,41.79453055,41,NARR BAY COMM,2 ERNST,PROVIDENCE,2905,0
-71.41708735,41.82156947,42,PROVIDENCE POLICE,209 FOUNTAIN ST,PROVIDENCE,2903,2
-71.54142373,41.89923666,43,SMITHFIELD  POLICE,215 PLEASANT VIEW AV,SMITHFIELD,2917,2
-71.42490156,41.80685856,44,DLT,220 ELMWOOD,PROVIDENCE,2907,0
-71.25390056,41.59239734,45,PORTSMOUTH  POLICE,2270 E MAIN RD,PORTSMOUTH,2871,2
-71.40876842,41.81836029,46,BUSINESS REG.,230 RICHMOND ST.,PROVIDENCE,2903,0
