X,Y,OBJECTID,FACNAME,NAME_FIE_1,NAME_FIE_2,ADDRESS,BLD_NUM,STREET_NAM,STREET_TYP,CITY,STATE,ZIP,URL
-71.27353248,41.66907192,1,Bristol Fire Department, Eveready Station, ,72 Church St,72,Church,St,Bristol,RI,2809,http://www.bristolri.us/fire/stations.php
-71.7488748,41.40508235,2,Bradford Volunteer Fire Department, , ,3 North Main St,3,North Main,St,Bradford,RI,2808,http://www.fire-marshal.ri.gov/departments.php
-71.26059382,41.68660778,3,Bristol Fire Department, Hydraulic Fire Station, ,4 Annawamscutt Dr,4,Annawamscutt,Dr,Bristol,RI,2809,http://www.bristolri.us/fire/stations.php
-71.27353248,41.66907192,4,Bristol Fire And Rescue Department, , ,72 Church St,72,Church,St,Bristol,RI,2809,http://www.bristolri.us/fire/stations.php
-71.27898906,41.69166887,5,Bristol Fire Department, Defiance Hose Company, ,1124 Hope St,1124,Hope,St,Bristol,RI,2809,http://www.bristolri.us/fire/stations.php
-71.70520473,41.35598865,6,Dunns Corner Fire Department,Station 2, ,5664 Post Rd,5664,Post,Rd,Charlestown,RI,2813,http://www.dunnscornersfire.com/
-71.3280836,41.74809587,7,Barrington Fire Department, , ,100 Federal Rd,100,Federal,Rd,Barrington,RI,2806,http://www.barringtonrifire.com/
-71.29439658,41.74590922,8,Hampden Meadows Volunteer Fire Company, , ,168 Sowams Rd,168,Sowams,Rd,Barrington,RI,2806,http://www.hmvfc.org/
-71.67020263,41.91350886,9,Chepachet Fire Department, , ,1170 Putnam Pike,1170,Putnam,Pike,Glocester,RI,2814,http://www.chepachetfire.com/
-71.57097686,41.17678205,10,New Shoreham Fire And Rescue,Block Island Station, ,10 Beach Ave,10,Beach,Ave,New Shoreham,RI,2807,http://www.new-shoreham.com/displayboards.cfm?id=29
-71.78471718,41.42524145,11,Ashaway Volunteer Fire Association, , ,213 Main St,213,Main,St,Hopkinton,RI,2804,http://www.ashawayfire.org/
